name,telephone,image,street_address,city,state,postal_code,country,full_address,latitude,longitude,area_served,facebook,twitter,linkedin,website,houzz_profile,category
Creazione Interior,089617 89510,https://st.hzcdn.com/simgs/e623d3750476e3d9_0-5691/_.jpg,"AC 87/2, Street Number 32 Newtown Action Area 1",Kolkata,West Bengal,700012,IN,"AC 87/2, Street Number 32 Newtown Action Area 1, Kolkata, West Bengal, 700012",22.5683,88.3612,500009,www.facebook.com/CreazioneInteriors,www.twitter.com/CreazioneID,,http://creazioneinteriors.houzz.com,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/creazione-interior-pfvwus-pf~1737542560,interior-designers
webuser_Adapt Design studio,098604 70185,https://st.hzcdn.com/simgs/246333e60170efb1_0-6949/_.jpg,A-34 Gulmohar garden Koregaon park North Main Street,Pune,Maharashtra,411001,IN,"A-34 Gulmohar garden Koregaon park North Main Street, Pune, Maharashtra, 411001",18.5229,73.8853,500009,https://www.facebook.com/designaiid/,,,https://www.instagram.com/adaptdesignstudio/,https://www.houzz.in/professionals/interior-designers-and-decorators/webuser-adapt-design-studio-pfvwin-pf~1421621981,interior-designers
Savv studio,093544 65545,https://st.hzcdn.com/simgs/c573012104af95d9_0-1891/_.jpg,"H-150, gali no 15, Kunwar singh nagar, nilothi mor",Delhi,Delhi,110041,IN,"H-150, gali no 15, Kunwar singh nagar, nilothi mor, Delhi, Delhi, 110041",,,500009,,,,savvstudio.com,https://www.houzz.in/professionals/interior-designers-and-decorators/savv-studio-pfvwin-pf~818448043,interior-designers
Simply Interiors,093410 74074,https://st.hzcdn.com/simgs/71f3195a0b5c5677_0-8103/_.jpg, ,Bangalore Urban,Karnataka,560102,IN," , Bangalore Urban, Karnataka, 560102",12.9114,77.6443,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/simply-interiors-pfvwin-pf~313574086,interior-designers
Sonali shah,098203 33059,https://st.hzcdn.com/simgs/7fc304db0d62c838_0-3317/_.jpg, ,Mumbai,,,IN," , Mumbai",19.0728,72.8826,500009,www.facebook.com/mblmumbai,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/sonali-shah-pfvwin-pf~1040276400,interior-designers
Shreya Bhimani Designs,098203 63235,https://st.hzcdn.com/simgs/0f13b06d0830998c_0-4498/_.jpg, ,Mumbai,Maharashtra,400025,IN," , Mumbai, Maharashtra, 400025",19.0136,72.828,500009,https://www.facebook.com/shreyabhimanidesigns/,,https://www.linkedin.com/in/shreya-bhimani-5037a466/,https://www.shreyabhimanidesigns.com/home,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/shreya-bhimani-designs-pfvwus-pf~218484081,interior-designers
GORAKHPUR Interior,094548 69668,https://st.hzcdn.com/simgs/9c63939806c9f126_0-5048/_.jpg,"Basharatpur, gorakhpur ",GORAKHPUR,Uttar Pradesh,273004,IN,"Basharatpur, gorakhpur , GORAKHPUR, Uttar Pradesh, 273004",26.795,83.3699,500009,https://www.facebook.com/gorakhpurinterior/,,,www.gorakhpurinterior.com,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/gorakhpur-interior-pfvwus-pf~1352409175,interior-designers
The White Lotus Interiors,098401 36660,https://st.hzcdn.com/simgs/ce4383630d1dca3f_0-3407/_.jpg, ,Chennai,Tamil Nadu,600028,IN," , Chennai, Tamil Nadu, 600028",,,500009,,,,https://www.instagram.com/thewhitelotusinteriors/,https://www.houzz.in/professionals/interior-designers-and-decorators/the-white-lotus-interiors-pfvwin-pf~28505403,interior-designers
Aakaarmiti Interior Designs,093724 18381,https://st.hzcdn.com/simgs/ff93b4d40e66649a_0-8229/_.jpg,"D 4 ,Plot No. 150 Saikurpa chs , Gorai 2 ,Borivali west",mumbai,Maharashtra,400091,IN,"D 4 ,Plot No. 150 Saikurpa chs , Gorai 2 ,Borivali west, mumbai, Maharashtra, 400091",,,500009,https://www.facebook.com/www.aakaarmiti.co.in/,,,www.aakaarmiti.com,https://www.houzz.in/professionals/interior-designers-and-decorators/aakaarmiti-interior-designs-pfvwin-pf~1010355965,interior-designers
tektton designs,094935 07944,https://st.hzcdn.com/simgs/b3934946020b55b1_0-4546/_.jpg,"c/o manju traders, opposite axis bank atm, seetarampuram, eluru road ",vijayawada,,520002,IN,"c/o manju traders, opposite axis bank atm, seetarampuram, eluru road , vijayawada, 520002",16.5153,80.6437,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/tektton-designs-pfvwin-pf~1828894169,interior-designers
Spacerz,086181 07967,https://st.hzcdn.com/simgs/8df38cbd074c5750_0-6337/_.jpg, ,,,,IN, ,,,500009,,,,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/spacerz-pfvwin-pf~1423141309,interior-designers
Glamwood Interiors,090367 09253,https://st.hzcdn.com/simgs/d8f39692035e23c7_0-2066/_.jpg,"1st floor, Anand arcade, Kalamandir, Service Rd R.J.Gardens, Anand Nagar, Aswath Nagar, Marathahalli",Bengaluru,Karnataka,560037,IN,"1st floor, Anand arcade, Kalamandir, Service Rd R.J.Gardens, Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka, 560037",12.9642,77.7022,500009,https://www.facebook.com/glamwoodinteriorsofficial/,https://twitter.com/GlamwoodInterio,https://in.linkedin.com/company/glamwood-interior,http://glamwoodinteriors.com/,https://www.houzz.in/professionals/interior-designers-and-decorators/glamwood-interiors-pfvwin-pf~918948228,interior-designers
Ambiance,094828 40704,https://st.hzcdn.com/simgs/3243e90b0db064bd_0-7214/_.jpg,Rajarajeshwari Nagar ,Bangalore,,560098,IN,"Rajarajeshwari Nagar , Bangalore, 560098",12.9149,77.5162,500009,https://www.facebook.com/pages/Ambiance/196272690503384,,http://www.linkedin.com/profile/view?id=25352743&trk=nav_responsive_tab_profile,,https://www.houzz.in/professionals/interior-designers-and-decorators/ambiance-pfvwin-pf~1887521155,interior-designers
Duende Designs Pvt. Ltd.,079721 56985,https://st.hzcdn.com/simgs/8ab335e8009f8004_0-7415/_.jpg,"Flat no 2, Ground Floor, Viman Paradise, Symbiosis College Road, Near ccd, Viman Nagar,",Pune,Maharashtra,411015,IN,"Flat no 2, Ground Floor, Viman Paradise, Symbiosis College Road, Near ccd, Viman Nagar,, Pune, Maharashtra, 411015",,,500009,https://www.facebook.com/DuendeDesignsIndia/,,https://www.linkedin.com/company/duendedesignsindia/,www.duendedesigns.com,https://www.houzz.in/professionals/interior-designers-and-decorators/duende-designs-pvt-ltd-pfvwin-pf~1673556814,interior-designers
Designaddict Interiors,099704 20073,https://st.hzcdn.com/simgs/b473381f0541f877_0-6811/_.jpg,"S. No 134/4A ,baner link road, Pashan ",PUNE,Maharashtra,411021,IN,"S. No 134/4A ,baner link road, Pashan , PUNE, Maharashtra, 411021",18.5273,73.7699,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/designaddict-interiors-pfvwin-pf~1955280961,interior-designers
Rae By Esha Marwaha,098116 73440,https://st.hzcdn.com/simgs/c993ec3900323e03_0-6061/_.jpg,B 37 Lajpat Nagar II ,New Delhi,Delhi,110024,IN,"B 37 Lajpat Nagar II , New Delhi, Delhi, 110024",,,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/rae-by-esha-marwaha-pfvwin-pf~381598792,interior-designers
